name,brand,price,bang_tan_2g,bang_tan_3g,battery_capacity,battery_life,bluetooth,brand,brand_country,camera_sau,camera_truoc,cart_slot,charge_time,chip_do_hoa,chip_set,chuc_nang_khac,connect_khac,connect_nfc,cpu_speed,den_flash,dimensions,display_type,fm_radio,ghi_am,gps,ho_tro_4g,ho_tro_5g,included_accessories,is_authentic,is_warranty_applied,item_model_number,jack_headphone,kha_dung,khe_sim,loai_pin,loai_sim,luu_y,manufacturer_electronics,material,nghe_nhac,organization_address,organization_name,origin,part_number,pin_co_the_thao_roi,port_sac,product_weight,quay_phim,ram,resolution,rom,screen_size,seller_delivery_method,service_highlight_1,service_highlight_2,service_highlight_3,the_ngoai_toi_da,tinh_nang_camera,vat_taxable,video_call,warranty_form,warranty_time_period,wifi,xem_phim
Điện thoại Samsung Galaxy S23 5G 8GB/128GB - Hàng chính hãng - ĐÃ KÍCH HOẠT BẢO HÀNH ĐIỆN TỬ,Samsung,15200000,,,39000 mAh,,v5.3,Samsung,,,,Không,,, Snapdragon 8 Gen 2 8 nhân,"Samsung Pay, Màn hình luôn hiển thị AOD,  Chạm 2 lần tắt/sáng màn hình, Trợ lý ảo Samsung Bixby","OTG, NFC",," 1 nhân 3.36 GHz, 4 nhân 2.8 GHz &amp; 3 nhân 2 GHz",Có,<p>Dài 146.3 mm - Ngang 70.9 mm - Dày 7.6 mm</p>, Full HD+ (1080 x 2340 Pixels),,Có,,,Có,"<p>Bộ sản phẩm gồm: Cáp Type C, Cây lấy sim, Hộp, Sách hướng dẫn</p>",Có,Có, SM-S911B/DS (S23) (8GB-128GB), Type-C,99 GB,2, Li-Ion,2 Nano SIM hoặc 1 Nano SIM + 1 eSIM,,, Khung nhôm &amp; Mặt lưng kính cường lực,Có,,,,,, Type-C,Nặng 168 g,Có,8 GB,Full HD+ (1080 x 2340 Pixels),128 GB,6.1 inch,,,,,Không,,Có,Có,Điện tử,12,"Dual-band (2.4 GHz/5 GHz),  Wi-Fi Direct,  Wi-Fi 802.11 a/b/g/n/ac/ax,  6 GHz",Có
Điện Thoại TCL 40SE (6GB/256GB) - Hàng Chính Hãng,TCL,3300000,,,5010 mAh,,Có,TCL,,Camera chính 50MP,,Micro SD,,MG GE8320,MediaTek Helio G37,,,,MediaTek Helio G37,,,IPS LCD,,,,,Không,,Có,Có,,3.5 mm,,2 sim,,2 Nano SIM,,,,,,,,,,Type-C,190g,,6GB,HD+ (700 x 1600 pixels),256GB,6.75 inch,,,,,,,Có,,Điện tử,18,802.11 a/b/g/n/ac,
Điện thoại Xiaomi Redmi 10 5G (4GB/64GB) - Hàng chính hãng ,Xiaomi,2999000,,,,,,Xiaomi,,,,,,,,,,,,,,,,,,,,,Có,Có,,,,,,,,,,,,,,,,,,,4GB,,64GB,,,,,,,,Có,,Điện tử,18,,
Điện Thoại Oppo A58 6GB/128GB - Hàng Chính Hãng,OPPO,4199000,,,5000 mAh,,v5.3,OPPO,,,,Tối đa 1 TB,,,MediaTek Helio G85 8 nhân,,,,,,<p>Dài 165.65 mm - Ngang 75.98 mm - Dày 7.99 mm - Nặng 192 g</p>,LTPS LCD,,,,,,"<p>Bộ sản phẩm bao gồm: Thân máy, sạc, cáp USB, dụng cụ lấy sim, vỏ bảo vệ, sách hướng dẫn.</p>",Có,Có,Oppo A58 6GB/128GB,3.5 mm,,2,Li-Po,Nano SIM,,,Khung hợp kim &amp; Mặt lưng thuỷ tinh hữu cơ,,,,,,,Type-C,Nặng 192 g,,,,,6.7 inch,,,,,,,Có,,Điện tử,12,Wi-Fi Direct  Wi-Fi 802.11 a/b/g/n/ac  Wi-Fi hotspot  Dual-band (2.4 GHz/5 GHz),
Điện thoại Samsung Galaxy A54 5G (8GB/256gb) - Hàng chính hãng,Samsung,10790000,,,,,,Samsung,,,,,,,,,,,,,,,,,,,,,Có,Có,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Có,,Điện tử,1,,
Điện thoại Samsung Galaxy S23 Plus 5G (8GB/256GB) - Hàng chính hãng,Samsung,18000000,,,,,,Samsung,,,,,,,,,,,,,,,,,,,,,Có,Có,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Có,,Điện tử,1,,
Điện Thoại Samsung Galaxy Z Flip4 (8GB/256GB) - Hàng Chính Hãng - Đã kích hoạt bảo hành điện tử,Samsung,13190000,,,,,v5.2,Samsung,,,,-,,,Snapdragon 8+ Gen 1 8 nhân,"-Ứng dụng kép (Dual Messenger),  Chế độ đơn giản (Giao diện đơn giản),  Chế độ trẻ em (Samsung Kids)","NFC , OTG",,"1 nhân 3.18 GHz, 3 nhân 2.7 GHz &amp; 4 nhân 2 GHz",,<p>Dài 165.2 mm - Ngang 71.9 mm - Dày 6.9 mm </p>,"Chính: Dynamic AMOLED 2X, Phụ: Super AMOLED",,,,,,"<p>Cây lấy sim, Cáp sạc</p>",Có,Có, Galaxy Z Flip4 (8GB/256GB),Type-C,218.3 GB,2,Li-Ion,"1 Nano SIM, 1 eSIM",,,"Khung nhôm, Mặt lưng kính cường lực","AAC,  WAV,  MP3,  OGG,  AMR,  FLAC,  M4A,  Midi.",,,,,Không,Type-C,187g,,8GB,WFHD (2560 x 1080 pixels),256GB,6.7 inch,,,,,-,,Có,,Điện tử,12,"6 GHz, Dual-band (2.4 GHz/5 GHz), Wi-Fi 802.11 a/b/g/n/ac/ax, Wi-Fi MIMO",
Điện Thoại Samsung Galaxy S22 Ultra 5G (8GB/128GB) - ĐÃ KÍCH HOẠT ĐIỆN TỬ - Hàng Chính Hãng,Samsung,30990000,,, 5000 mAh,, v5.2,Samsung,Hàn Quốc,,,,, Adreno 730, Snapdragon 8 Gen 1 8 nhân,, NFC,,"1 nhân 3 GHz, 3 nhân 2.5 GHz &amp; 4 nhân 1.79 GHz",,<p>Dài 163.3 mm - Ngang 77.9 mm - Dày 8.9 mm</p>,Dynamic AMOLED 2X,,,BEIDOU  GALILEO  GLONASS  GPS  QZSS,,Có,"<p>Bộ sản phẩm gồm: Hộp, Sách hướng dẫn, Bút cảm ứng, Cây lấy sim, Cáp Type C</p>",Có,Có,SM-S908EDRDXXV,Type-C,100 GB,2, Li-Ion, 2 Nano SIM hoặc 1 Nano SIM + 1 eSIM,,Samsung, Khung kim loại &amp; Mặt lưng kính,,,,Việt Nam,,,Type-C,228 g,,8GB,,128GB,6.8 inch,,,,,,,Có,,Điện tử,12,Dual-band (2.4 GHz/5 GHz)  Wi-Fi 802.11 a/b/g/n/ac/ax  Wi-Fi Direct  Wi-Fi hotspot,
Điện Thoại Xiaomi Redmi 12C 4GB/64GB - Hàng Chính Hãng,Xiaomi,2449000,,,5000mah,,,Xiaomi,,,,,,,Mediatek MT6769Z Helio G85 (12nm),,,,,,,,,,,,,,Có,Có,,,,2,,,,,,,,,,,,Micro,,,4GB,,64GB,,,,,,,,Có,,Điện tử,12,,
Điện Thoại Samsung A54 5G 8GB/128GB - Hàng Chính Hãng,Samsung,7388000,,,5000 mAh,,Có,Samsung,,,,,,,Exynos 1380 ,,,,,Có,,AMOLED,,,Có,Có,Có,"<p>Bộ sản phẩm bao gồm: Thân máy, cáp sạc, dụng cụ lấy sim, sách hướng dẫn.</p>
<p> </p>",Có,Có,Điện Thoại Samsung A54 5G 8GB/128GB,,8GB/128GB,2 SIM,,2 Nano SIM,,,,,,,,,,Type C,199g,,128GB,,8GB,6.6 inch,,,,,,,Không,Có,Điện tử,12,Có,
Điện thoại POCO X5 Pro 5G 6+128GB | 8+256GB - Hàng chính hãng,Xiaomi,8690000,,,,,Bluetooth 5.2,Xiaomi,,,,,,,Snapdragon 778G,,,,,,"<p><span class=""xm-text f-light"">Chiều dài: 162,91mm </span><span class=""xm-text f-light"">Chiều rộng: 76,03mm </span><span class=""xm-text f-light"">Độ dày: 7,9mm</span></p>","Màn hình FHD+ Flow AMOLED DotDisplay 6,67""",,,,,,<p>POCO X5 Pro 5G / Bộ sạc / Cáp USB Type-C / Dụng cụ tháo SIM / Ốp bảo vệ / Hướng dẫn sử dụng nhanh / Thẻ bảo hành</p>,Có,Có,,,,2,,Nano sim,,,,,,,,,,Type C,181g,,,,,,,,,,,,Có,,Hóa đơn,18,Giao thức Wi-Fi: 802.11a/b/g/n/ac/ax,
Điện Thoại Sony XPERIA 10 MARK V  | ROM 128GB - Pin khủng 5000mAh - Hệ điều hành Snapdragon 695 - Màn hình OLED | HÀNG CHÍNH HÃNG,Sony,12490000,,,5000 mAh,,5.2,Sony,Nhật Bản,,,Có,,,,,,,,,,,,Có,Có,Có,Có,,Có,Có,XPERIA 10 V,3.5,128GB,2,,,,Sony,,Có ,,,Thái Lan / Trung Quốc,,,Type C,159 g,,128, 5120 x 2880 pixel,6,6.1 inch,,,,,512GB,,Có,,Điện tử,1,Có,
Điện thoại Vivo Y36 (8GB/128GB) - Hàng Chính Hãng - Camera 50MP - Sạc Nhanh 44W,Vivo,5490000,,,,,,Vivo,,,,,45 phút,,,,,,,,,Amoled,,,,,,<p>C</p>,Có,Có,,,128GB,,5000mAh,,,,,,,,,,,Type C,,,,,,,,,,,,,Có,,Hóa đơn,12,,
"Điện thoại Redmi Note 12 AMOLED 6.67"" FHD+| Snapdragon 685| 5000mAh - Hàng chính hãng",Xiaomi,4990000,,,,,Bluetooth 5.0,Xiaomi,,,,,,,Snapdragon 685,,,,8 Nhân CPU lên tới 2.8GHz,,<p>Dài 165.9 mm - Ngang 76.2 mm - Dày 8 mm - Nặng 188 g</p>,AMOLED,,,,,,"<p>Sạc, ốp lưng...</p>",Có,Có,,,128GB,2,,Nano Sim,,,,,,,,,,Type C,,,,Full HD+ (1080 x 2400 Pixels),,6.67 inch,,,,,,,Có,,Hóa đơn,18,"Wi-Fi 2.4GHz, 5GHz",
Điện thoại Xiaomi Redmi 13C (6GB/128GB) - Hàng chính hãng - Bảo hành 18 tháng,Xiaomi,3090000,,,5000 mah,,,Xiaomi,,,,,,,MediaTek Helio G85 8 nhân,,,,,,,,,,,,,,Có,Có,,,,,,,,,,,,,,,,,,,6GB,,128GB,6.74 inch,,,,,,,Có,,Điện tử,18,,
Điện Thoại Oppo A77s  8GB/128GB - Hàng Chính Hãng,OPPO,4840000,,,5000 mAh,,v5.0,OPPO,,,,MicroSD,,,Snapdragon 680 4G,,,,2.4 GHz,,<p>Dài 163.74 mm - Ngang 75.03 mm - Dày 7.99 mm - Nặng 187 g</p>, IPS LCD,,,,,,"<p>Bộ sản phẩm bao gồm: Thân máy, sạc, cáp USB, dụng cụ lấy sim, vỏ bảo vệ, sách hướng dẫn.</p>",Có,Có,Oppo A77s  8GB/128GB,3.5 mm,,2,Li-Po,Nano SIM,,,Khung nhựa &amp; Mặt lưng thuỷ tinh hữu cơ,FLAC  Midi  MP3  OGG,,,,,Nguyên khối,Type-C,187g,,8GB,,128GB,6.56 inch,,,,,Tối đa 1 TB,,Có,,Điện tử,12,Dual-band (2.4 GHz/5 GHz)Wi-Fi 802.11 a/b/g/n/ac,
Điện thoại Samsung Galaxy A53 5G (8GB/128GB) - Hàng chính hãng - ĐÃ KÍCH HOẠT BẢO HÀNH ĐIỆN TỬ,Samsung,9000000,,,,,,Samsung,,,,,,,Exynos 1280 8 nhân,,,,2 nhân 2.4 GHz & 6 nhân 2 GHz,,<p>Dài 159.6 mm - Ngang 74.8 mm - Dày 8.1 mm - Nặng 189 g</p>,Super AMOLED,,,,,,,Có,Có,Galaxy A53,Type-C,,2,Li-Ion,Nano,,,,,,,,,,Type-C,189 g,,,Full HD+ (1080 x 2400 Pixels),,6.5 inch,,,,,,,Có,,Điện tử,12,Dual-band (2.4 GHz/5 GHz) Wi-Fi 802.11 a/b/g/n/ac Wi-Fi Direct Wi-Fi hotspot,
"Điện thoại Oukitel WP19(chống sốc ,chống nước ,Pin 21000mAh ,Ram 8G ,Rom 256G ,Tầm nhìn ban đêm 64MP ,  Máy ảnh 90Hz ,Điện thoại Helio G95 )-hàng chính hãng",Oukitel,9790000,,,21000,,•	Bluetooth 5.0,Oukitel,,,,,,,Mediatek MT6761 Helio A22 (12 nm),,,,,,,LCD,,,,,,,Có,Có,oukitel wp19,3.5mm,256,2,nano,nano,,,,,,,,,,tyce c,485,,8GB,1080 x 2408 (FHD+),256GB,6.78 inch,,,,,512,TẦM NHÌN BAN ĐÊM,Có,,Phiếu bảo hành,12,"•	Wi-Fi 802.11 a / b / g / n, Wi-Fi Direct",
Điện Thoại Xiaomi Redmi 13C 6GB/128GB - Hàng Chính Hãng,Xiaomi,3066000,,,5000 mAh,,v5.3,Xiaomi,,,,MicroSD,,,MediaTek Helio G85 8 nhân,,,,2 nhân 2.0 GHz &amp; 6 nhân 1.8 GHz,,<p>Dài 168 mm - Ngang 78 mm - Dày 8.09 mm - Nặng 192 g</p>,IPS LCD,,,,,,"<p>Bộ sản phẩm bao gồm: Pin, sạc, cáp USB kiểu C, ốp lưng, hướng dẫn, cây tháo sim.</p>",Có,Có,Xiaomi Redmi 13C 6GB/128GB,3.5 mm,,2,Li-Po,Nano SIM,,,Khung &amp; Mặt lưng nhựa,,,,,,Nguyên Khối,Type-C,Nặng 192 g,,,,,6.74 inch,,,,,Tối đa 1 TB,,Có,,Điện tử,18,"Wi-Fi Direct,  Wi-Fi 802.11 a/b/g/n/ac,  Wi-Fi hotspot , Dual-band (2.4 GHz/5 GHz)",
Điện Thoại Xiaomi Redmi Note 12 8GB/128GB - Hàng Chính Hãng,Xiaomi,4448000,,, 5000 mAh,,"A2DP,  LE,  v5.1",Xiaomi,,,,MicroSD,,Adreno 610,Snapdragon 685 8 nhân,,,,2.8 GHz,,"<div class=""ctLeft"">
<p>Kích thước, khối lượng: Dài 165.66 mm - Ngang 75.96 mm - Dày 7.85 mm - Nặng 183.5 g</p>
</div>",AMOLED,,,,Có,,"<p>Bộ sản phẩm bao gồm: Pin, sạc, cáp USB kiểu C, ốp lưng, hướng dẫn, cây tháo sim</p>",Có,Có,Note 12 8GB/128GB,3.5 mm,,2,Li-Po,Nano SIM,,,Khung &amp; Mặt lưng nhựa,,,,,,Nguyên khối,Type-C,Nặng 183.5 g,,,Full HD+ (1080 x 2400 Pixels),,6.67 inch,,Không,Không,Không,Hỗ trợ tối đa 1 TB,,Có,,Điện tử,18, Wi-Fi 802.11 a/b/g/n/acDual-band (2.4 GHz/5 GHz),
Điện thoại Samsung Galaxy S22 Plus 5G (8GB/128GB) - Hàng chính hãng,Samsung,19980000,,,,,,Samsung,,"Chính 50 MP &amp; Phụ 12 MP, 10 MP",10 MP,,,Adreno 730,	Snapdragon 8 Gen 1 8 nhân,,,,,,,Dynamic AMOLED 2X 120Hz,,,,,Có,,Có,Có,S22 Plus,Type C,,,,,,,,,,,,,,type C,,,8GB,Full HD+ (1080 x 2340 Pixels),128GB,6.6 inch,,,,,,,Có,,Hóa đơn,12,,
"Điện thoại smartphone Sugar A100, music smartphone - Hàng chính hãng",Sugar,769000,,,,,Có,Sugar,,,,Có,,,MTK 6739,4G,Wifi,,1.2Ghz,,<p>Đang cập nhật</p>,LCD,,,,,,"<p>Nguyên bộ sản phẩm mới 100% gồm 1 máy, 1 cáp Type C</p>",Có,Có,A100,Type C,16gb,2 sim,2500mAh,2 sim,,,Nhựa,,,,,,,Tyoe C,0.3,,,1024 x 800 pixels,,3.5 inch,,,,,16gb,,Không,,Điện tử,12,Có,
"Điện thoại OUKITEL WP18 (Chống nước ,chống va đập, pin khủng 12500mAh, Ram 4GB ,Rom 32GB ,màn hình 5.93 inch,Điện thoại chắc chắn) – HÀNG CHÍNH HÃNG",Oukitel,3990000,,,,,,Oukitel,,,,,,,,,,,,,,,,,,,,"<p>1 x Cáp sạc Type-C,cốc sạc , HDSD,PBH</p>",Có,Có,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Có,,Phiếu bảo hành,12,,
Điện thoại Samsung Galaxy A23 5G 4GB/128GB Xanh - Hàng chính hãng,Samsung,4990000,,,,,v5.1,Samsung,,,,1,,,Snapdragon 695 5G 8 nhân,,,,,,,Tràn viền vô cực Infinity-V FHD+,,,,,,,Có,Có,A236 (SM-A236E/DS),Jack 3.5mm,128,2,,Nano SIM,,,,,,,,,,Type-C,0.5 Kg,,,1080 x 2408 (FHD+),,6.6 inch,Nhà bán giao hàng cho khách hàng,,,,1 TB,,Có,,Phiếu bảo hành,1,"Wi-Fi 802.11 a/b/g/n/ac, Wi-Fi Direct,Wi-Fi hotspot",
Điện thoại Samsung Galaxy S22 Plus 5G (8GB/128GB) - Hàng Chính Hãng,Samsung,24912000,,,,,,Samsung,,,,,,,,,,,,,,,,,,,,,Có,Có,,Type-C,,,,,,,,,,,,,,Type-C,,,,,,,,,,,,,Có,,Điện tử,12,,
Điện thoại Samsung Galaxy S23 Ultra 12GB/1TB Tím - Hàng chính hãng,Samsung,42000000,,,,,v5.3,Samsung,,,,,,,Snapdragon 8 Gen 2 Mobile Platform,"Mở khoá khuôn mặt, Mở khoá vân tay dưới màn hình",,,Octa-core (8 nhân),,,Edge Quad HD+,,,,,,,Có,Có,S918,,1TB,,,Nano,,,Khung nhôm &amp; Mặt lưng kính cường lực,,,,,,,Type-C,,,, 2K+ (1440 x 3088 Pixels),,,Nhà bán giao hàng cho khách hàng,,,,,,Có,,Điện tử,1,"6 GHz, Dual-band (2.4 GHz/5 GHz), Wi-Fi 802.11 a/b/g/n/ac/ax, Wi-Fi Direct",
"Điện thoại thông minh XIAOMI Redmi 10A 2GB+32GB/3GB+64GB MediaTek Helio G25 | 6,53"" HD+ Hàng chính hãng",Xiaomi,2556000,,,,,A2DP / LE / v5.0,Xiaomi,,,,,,, MediaTek Helio G25 8 nhân,,,,2,,<p>Dài 164.9 mm - Ngang 77 mm - Dày 9 mm </p>,,,,,,,"<p>Bộ sản phẩm gồm: Redmi 10A, Hộp, Sách hướng dẫn, Cây lấy sim, Củ sạc rời đầu Type A, Cáp microUSB.</p>",Có,Có,,,32GB/64GB,,,,,,,,,,Trung Quốc,,,,194 g,,2GB/3GB,HD+ (720 x 1600 pixels),32GB/64GB,6.53 inch,,,,,,,Có,,Hóa đơn,12,Wi-Fi Direct / Wi-Fi hotspot / Wi-Fi 802.11 b/g/n,
Điện Thoại Samsung A03 Core 2GB/32GB - Hàng Chính Hãng,Samsung,1900000,,,5000 mAh,,Có,Samsung,,,,,,,Unisoc T606 8 nhân,,,,4 nhân 1.6 GHz &amp; 4 nhân 1.2 GHz,,"<p>Dài 164.2 mm - Ngang 75.9 mm - Dày 9.1 mm, 196g</p>",PLS LCD,,,,,,"<p>Bộ sản phẩm bao gồm: Thân máy, sạc, cáp dữ liệu, tài liệu hướng dẫn, dụng cụ lấy sim, sách hướng dẫn.</p>",Có,Có,A03 Core 2GB/32GB,,,2,,Nano Sim,,,,,,,,,Nguyên Khối,,,,2GB,,32GB,6.5 inch,,,,,,,Có,,Hóa đơn,12,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",
Điện thoại Samsung Galaxy S22 Ultra 5G (8GB/128GB) - Hàng Chính Hãng,Samsung,29755000,,,,,,Samsung,,,,,,,,,,,,,,,,,,,,,Có,Có,S22 Ultra,Type-C,,,,,,,,,,,,,,Type-C,,,,,,,,,,,,,Có,,Điện tử,12,,
Điện Thoại Samsung A03 Core 2GB/32GB - Hàng Chính Hãng - Đã kích hoạt bảo hành,Samsung,1900000,,,5000mAh,,,Samsung,,,,,,,,,,,,,,,,,,,,,Có,Có,,,,2,,Nano sim,,,,,,,,,,,,,,,,,,,,,,,Có,,Điện tử,1,,
Điện thoại Samsung Galaxy M34 5G (8GB/128GB) - Hàng chính hãng,Samsung,6839000,,,,,,Samsung,,,,,,,,,,,,,,,,,,,,,Có,Có,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Có,,Điện tử,12,,
Điện thoại Samsung Galaxy A05s 4GB/128GB- Hàng Chính hãng,Samsung,3590000,,,,,,Samsung,,,,,,,,,,,,,,,,,,,,,Có,Có,,,,,,,,,,,,,,,,,,,,,,6.7 inch,,,,,,,Có,,Hóa đơn,1,có,
Điện thoại Tecno Spark Go 2023 4G/64G Hàng chính hãng,Tecno,2290000,,,5000 mAh,,Có,Tecno,China,,,Có,,,Helio A22,"Điện thoại, giải trí","Wifi, Bluetooth",,4 nhân ARM Cortex-A53,Có,"<p>Dài 10 mm</p>
<p>Rộng 10mm</p>
<p>Cao 5 mm</p>",LCD IPS,,,Có,Có,chưa,<p>Full box từ hãng</p>,Có,Có,Spark Go 2023,3.5,64G,2,,Nano,,,nguyên khối,Có,,,China,,Nguyên khối,Type C,200g,Full HD,4G,1080 x 2408 (FHD+),64G,6.56 inch,,,,,1TB,"Chụp hình, quay phim, đèn Flash kép",Có,Có,Điện tử,1,Có,Full HD
"Điện thoại ulefone note 16 pro (Ram 16Gb(8+8),rom 128Gb,android 13 , camera 50MP,pin 4.400mAhm, Mở khóa vân tay, Mở khóa bằng khuôn mặt )-hàng chính hãng",Ulefone,5990000,,,,,,Ulefone,,,,,,,,,,,,,,,,,,,,,Có,Có,ulefone note 16 pro,,128,,,,,,,,,,,,,,,,,,,,,,,,,,Có,,Phiếu bảo hành,12,,
"Điện thoại OUKITEL WP16 (pin 10.600mAh,  Ram 8Gb,Rom 128Gb, màn hình 6,39 in , Android 11, Máy ảnh nhìn ban đêm 20MP, chống nước IP68,chống va đập, hai SIM 4G, NFC..) – hàng chính hãng",Oukitel,5990000,,,,,"Bluetooth 5.0, Bluetooth HID",Oukitel,,,,,,,,,,,,,,,,,,,,,Có,Có,oukitel WP16,,128Gb,2 sim,Lithium-ion polymer,nano,,,,,,,,,,tyce c,380,,,HD+ (720 x 1560 Pixels),,6.39 inch,,,,,,,Có,,Phiếu bảo hành,12,,
Điện thoại Nokia C20 2GB/32GB Vàng - Hàng Chính Hãng,Nokia,1770000,,,2950 mAh,,có,Nokia,Phần Lan,,,,,Mali-G52 MC2, Spreadtrum SC9863A 8 nhân,có,có,, 4 nhân 1.6 GHz &amp; 4 nhân 1.2 GHz,,, IPS LCD,,có,,có,,,Có,Có,NOKIAC20,3.5 mm,32gb,2, Li-Ion,Nano,,Nokia,,có,,,Trung Quốc,,,Micro USB,191g,có,2gb,HD+ (720 x 1600 pixels),32gb,6.5 inch,Nhà bán giao hàng cho khách hàng,,,,,có,Có,có,Phiếu bảo hành,12,có,có
Điện Thoại Oppo A57 4GB/128GB - Hàng Chính Hãng,OPPO,3625000,,,5000 mAh,,Có,OPPO,,,,,,,MediaTek Helio G35,,,,,,<p>Dài 163.74 mm - Ngang 75.03 mm - Dày 7.99 mm - Nặng 187 g</p>,,,Có,Có,Có,,"<p>Bộ sản phẩm bao gồm: Thân máy, bộ sạc, cáp USB, dụng cụ lấy sim, sách hướng dẫn, ốp lưng điện thoại.</p>",Có,Có,Oppo A57 4GB/128GB,,4GB/128GB,2 SIM,,Nano SIM,,,,Có,,,,,,Type-C,,,128GB,,4GB,,,,,,1TB,,Không,Có,Điện tử,12,Có,
Điện thoại OPPO Reno8T 5G (8GB/128GB) - Hàng chính hãng,OPPO,7700000,,,,,,OPPO,,,,,,,,,,,,,,,,,,,,"<article class=""4ever-article""><p>Bên trong hộp: </p>
<p>-OPPO RENO8T 5G</p>
<p>- Cáp USB Type C</p>
<p>- Củ sạc Super VOOC</p>
<p>- Không tai nghe</p>
<p>- Dụng cụ lấy SIM</p>
<p>- Sách hướng dẫn</p>
<p>- Miếng dán màn hình (Đã dán sẵn)</p>
<p>- Vỏ bảo vệ</p>
</article>",Có,Có,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Có,,Điện tử,1,,
Điện thoại Xiaomi Redmi Note 12S (8GB/256GB) - Hàng Chính Hãng,Xiaomi,6990000,,,5000 mAh,,"LE, v5.1, A2DP",Xiaomi,Trung Quốc,,,"MicroSD, hỗ trợ tối đa 1 TB",,Mali-G57 MC2,MediaTek Helio G96 8 nhân,,,,2 nhân 2.05 GHz &amp; 6 nhân 2.0 GHz,,<p>Dài 159.87 mm - Ngang 73.87 mm - Dày 8.09 mm</p>,AMOLED,,,,,,"<p>Cáp  sạc, sách DHSD</p>",Có,Có,Xiaomi Redmi Note 12S 4G (8GB/128GB),3.5 mm,235 GB,2,Li-Po,Nano SIM,,,Khung nhựa và Mặt lưng kính,,,,Trung Quốc,,,Type-C,,,8Gb,Full HD+ (1080 x 2400 Pixels),256Gb,6.43 inch,,,,,hỗ trợ tối đa 1 TB,,Có,,Điện tử,18,"Dual-band (2.4 GHz/5 GHz), Wi-Fi 802.11 a/b/g/n/ac",
Điện thoại Samsung Galaxy S22 Plus 5G (8GB/256GB) - Hàng Chính Hãng,Samsung,26223000,,,,,,Samsung,,,,,,,,,,,,,,,,,,,,,Có,Có,,Type - C,,,,,,,,,,,,,,Type-C,,,,,,,,,,,,,Có,,Điện tử,12,,
Điện Thoại Oppo Reno 8T 5G (8GB/256GB) - Hàng Chính Hãng,OPPO,8000000,,,,,,OPPO,,,,,,,,,,,,,,,,,,,,,Có,Có,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Có,,Hóa đơn,12,,
Điện thoại Xiaomi Redmi Note 12 (4GB/128GB) - Hàng chính hãng,Xiaomi,4452000,,,,,A2DP  LE  v5.1,Xiaomi,,,,MicroSD,,,Snapdragon 685 8 nhân,,OTGNFC,,2.8 GHz,,,AMOLED,,,,,,,Có,Có,,3.5mm,101 GB,2,Li-Po,Nano,,,Khung và Mặt lưng nhựa,,,,,,,USB-C,183.5 g,,,Full HD+ (1080 x 2400 Pixels),,6.67 inch,,,,,hỗ trợ tối đa 1 TB,,Có,,Điện tử,1,Dual-band (2.4 GHz/5 GHz)Wi-Fi 802.11 a/b/g/n/ac,
Điện thoại Samsung Galaxy Z Fold 4 (12GB/512GB) - Hàng chính hãng,Samsung,42000000,,,,,,Samsung,,,,,,,,,,,,,,,,,,,,,Có,Có,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Có,,Hóa đơn,12,,
Điện Thoại Samsung M14 5G 6GB/128GB - Hàng Chính Hãng,Samsung,5292000,,,6000mAh,,Có,Samsung,,,,1TB,,,Exynos 1330,,,,,,"<p>167.2mm (6.6"" hình chữ nhật hoàn chỉnh) / 163.0mm (6.4"" tính đến các góc tròn)</p>",FHD+,,,Có,,Có,"<p>Bộ sản phẩm bao gồm: Thân máy, cáp dữ liệu, tài liệu hướng dẫn, dụng cụ lấy sim và lấy thẻ nhớ.</p>",Có,Có,Samsung M14 5G 6GB/128GB,,6GB/128GB,2 Sim,,Nano sim,,,,,,,,,,Type C,206g ,,128GB,,6GB,6.6 inch,,,,,,,Không,,Điện tử,1,Có,
Điện thoại OPPO Reno8 T 5G (8GB/128GB) - Hàng Chính Hãng,OPPO,7700000,,,4800,, v5.1,OPPO,Trung Quốc,,, MicroSD,,Snapdragon 695 5G 8 nhân,Snapdragon 695 5G 8 nhân, Mở khoá khuôn mặtMở khoá vân tay dưới màn hình, OTG,,2.2 GHz,Có,<p>Dài 162.3 mm - Ngang 74.3 mm - Dày 7.7 mm</p>, AMOLED,,,,Có,,"<p>Bộ sản phẩm gồm: Hộp, Sách hướng dẫn, Cây lấy sim, Ốp lưng, Cáp Type C, Củ sạc nhanh rời đầu Type A</p>",Có,Có,, Type-C,113 GB,2 Sim, Li-Po,Nano Sim,,,Khung hợp kim &amp; Mặt lưng thuỷ tinh hữu cơ,"FLAC,  OGG,  MP3,  Midi",,,China,,,Type-C,Nặng 171 g,,8GB,Full HD+ (1080 x 2248 pixels) ,128GB,6.7 inch,,,,,1 TB,,Có,,Điện tử,1,"Dual-band (2.4 GHz/5 GHz),  Wi-Fi hotspot,  Wi-Fi 802.11 a/b/g/n/ac",
